No,ARTICULO TIENDA,EXISTENCIA,LUNES AM,LUNES PM,MARTES AM,MARTES PM,MIERCO AM,MIERCO PM,JUEVES AM,JUEVES PM,VIERNES AM,VIERNES PM,SABADO,NVA EXIST,PEDIDO,PP,OBSERVACIONES,FECHA DE VENCIMIENTO,BODEGA,COMPRAS,FECHA DE COMPRA,SEM 28 ABRIL,SEM 5 MAYO,SEM 12 MAYO, SEM 21 ABRIL,TOTAL,PROMEDIO,1 MES,2 MESES
99,SHAMPOO TIO NACHO 415 ML ANTI EDAD,1,,,,,,,,,,,,1,7,61.0,BENDICION,2026-07-01,1.0,,2024-03-01,,1.0,2.0,1.0,4,1.0,4,8
100,SHAMPOO TIO NACHO 415 ML ENGROSADOR,1,,,,,,,,,,,,1,5,61.0,BENDICION,2027-03-01,1.0,,2024-12-01,1.0,1.0,,1.0,3,0.75,3,6
101,SHAMPOO TIO NACHO 415 ML HERBOLARIA,0,,,,,,,,,,,,0,10,61.0,BENDICION,2027-02-01,0.0,,2025-01-01,1.0,1.0,1.0,2.0,5,1.25,5,10
102,SHAMPOO TIO NACHO ALOE 415 ML,1,,,,,,,,,,,,1,-1,61.0,BENDICION,2027-03-01,,,2025-01-01,,,,,0,0.0,0,0
103,SHAMPOO TIO NACHO COCO 415 ML,1,,,,,,,,,,,,1,-1,61.0,BENDICION,2027-05-01,,,2025-01-01,,,,,0,0.0,0,0
104,SHAMPOO TIO NACHO FRUTOS ROJOS 415 ML,1,,,,,,,,,,,,1,-1,0.0,BENDICION,2026-07-01,1.0,,2025-01-01,,,,,0,0.0,0,0
105,SHAMPOO TIO NACHO GINSENG 415 ML,1,,,,,,,,,,,,1,-1,61.0,BENDICION,2026-03-01,,,2025-01-01,,,,,0,0.0,0,0
106,SHAMPOO TIO NACHO PURIF CEL MADRES 415 ML,1,,,,,,,,,,,,1,-1,61.0,BENDICION,2026-09-01,,,2025-01-01,,,,,0,0.0,0,0
107,SPLENDA BOLSA DE 100,4,,,,,,,,,,,,4,4,30.0,PRICES,2027-05-01,8.0,,2024-11-01,1.0,1.0,1.0,1.0,4,1.0,4,8
108,SPLENDA BOLSA DE 50,4,,,,1.0,,,,,,,,3,5,16.0,PRICES,2027-05-01,10.0,,2024-11-01,1.0,1.0,1.0,1.0,4,1.0,4,8
109,STEVIA BOLSA X 100,2,,,,,,,,,,,,2,6,22.0,PRICES,,2.0,,2024-07-01,1.0,1.0,1.0,1.0,4,1.0,4,8
110,STEVIA BOLSA X 50,2,,,,,,,,,,,,2,6,12.0,PRICES,,7.0,,2024-07-01,1.0,1.0,1.0,1.0,4,1.0,4,8
111,SWEETENER BOLSA X 100,3,,,,,,1.0,,,,,,2,16,15.0,PRICES,,0.0,,2024-12-01,2.0,1.0,2.0,4.0,9,2.25,9,18
112,SWEETENER BOLSA X 50,5,,,,,,,,,,,,5,3,8.0,PRICES,,3.0,,2024-12-01,1.0,1.0,1.0,1.0,4,1.0,4,8
113,TINTES,21,,,,,,,,,,,,21,-1,41.0,H Y D,,101.0,,2024-10-01,3.0,2.0,1.0,4.0,10,2.5,10,20
114,TOALLA HUMEDA FAMILY CHOICE,3,,,,,,1.0,,,,,,2,12,13.0,ESQUINITA,,19.0,,2025-03-01,1.0,2.0,2.0,2.0,7,1.75,7,14
115,TOALLA SABA BUENAS NOCHES 8,3,,,,,,1.0,,,,,,2,12,14.0,ESQUINITA,2026-04-01,17.0,,2025-03-01,3.0,1.0,1.0,2.0,7,1.75,7,14
116,TOALLA SABA BUENAS NOCHES X 11,0,,,,,,,,,,,,0,2,14.0,ESQUINITA,,2.0,,2024-08-01,1.0,,,,1,0.25,1,2
117,TOALLA SABA INVISIBLE BUENOS DIAS ,0,,,,,,,,,,,,0,6,15.0,WILLY,,0.0,,2024-02-01,,,1.0,2.0,3,0.75,3,6
118,TOALLAS FACIAL SWISSPERS X 100,1,,,,,,,,,,,,1,5,28.0,PRICES,,0.0,,2025-01-01,1.0,,1.0,1.0,3,0.75,3,6
119,VASELINA BLANCA BEBE JALOMA 60 GRS,2,,,,,,,,,,,,2,2,12.0,ESQUINITA,2026-07-01,0.0,,2025-01-01,,1.0,1.0,,2,0.5,2,4
